frame_id,arm,seed,raw_diagonal_px,base_frame_mean_px,method_frame_mean_px,method_frame_normalized,gain_frame_px,correction_mean_px,correction_max_px,utility_mean,actual_candidate_gain_mean_px,mode_ambiguity_mean
TEX__shard_03_f0886,point,,865.3323364257812,0.8942954010827757,0.8942954010827757,0.0010334704522618734,0.0,,,,,
TEX__shard_06_f0123,point,,800.0,1.8724473466934188,1.8724473466934188,0.0023405591833667735,0.0,,,,,
G38__G__f15878,point,,865.3323364257812,1.413268427926336,1.413268427926336,0.0016332088475553585,0.0,,,,,
G38__G__f23773,point,,1101.45361328125,1.93793301177466,1.93793301177466,0.0017594322524409566,0.0,,,,,
P0__shard_06_f0228,point,,800.0,0.9607928840572909,0.9607928840572909,0.0012009911050716137,0.0,,,,,
P0__shard_07_f0807,point,,1101.45361328125,4.2995409857601885,4.2995409857601885,0.003903515258306502,0.0,,,,,
P0__shard_00_f0066,point,,1101.45361328125,5.039668316379208,5.039668316379208,0.004575470319958319,0.0,,,,,
G38__G__f35828,point,,800.0,3.622612022316856,3.622612022316856,0.00452826502789607,0.0,,,,,
TEX__shard_05_f0613,point,,1101.45361328125,2.5491550744268663,2.5491550744268663,0.002314355360670058,0.0,,,,,
G38__G__f19284,point,,1101.45361328125,4.554505448533698,4.554505448533698,0.004134995240485657,0.0,,,,,
P0__shard_00_f0296,point,,800.0,2.058027027061961,2.058027027061961,0.0025725337838274514,0.0,,,,,
G38__G__f6313,point,,1101.45361328125,6.976962478258084,6.976962478258084,0.006334322566225543,0.0,,,,,
G38__G__f0717,point,,865.3323364257812,5.935746467057425,5.935746467057425,0.006859499197238803,0.0,,,,,
P0__shard_04_f0738,point,,1101.45361328125,2.7224922288684987,2.7224922288684987,0.0024717266310999206,0.0,,,,,
G38__G__f5154,point,,865.3323364257812,3.0284545784375445,3.0284545784375445,0.0034997589376429042,0.0,,,,,
G38__G__f1423,point,,1101.45361328125,2.0779514946294793,2.0779514946294793,0.0018865537954333134,0.0,,,,,
G38__G__f0622,point,,800.0,2.567571348812291,2.567571348812291,0.0032094641860153637,0.0,,,,,
TEX__shard_05_f1228,point,,865.3323364257812,1.2772772415811746,1.2772772415811746,0.001476053982747154,0.0,,,,,
G38__G__f25107,point,,800.0,2.025313670123289,2.025313670123289,0.002531642087654111,0.0,,,,,
TEX__shard_01_f0396,point,,791.9595947265625,1.276699507376044,1.276699507376044,0.0016120765704175177,0.0,,,,,
TEX__shard_06_f0180,point,,791.9595947265625,4.138448724270178,4.138448724270178,0.005225580637985765,0.0,,,,,
TEX__shard_06_f0157,point,,800.0,4.10041069322593,4.10041069322593,0.005125513366532413,0.0,,,,,
TEX__shard_06_f0310,point,,1101.45361328125,1.5950173319204193,1.5950173319204193,0.0014481021376550158,0.0,,,,,
G38__G__f4537,point,,800.0,2.036271134344675,2.036271134344675,0.002545338917930844,0.0,,,,,
TEX__shard_02_f1010,point,,800.0,1.3840123694156454,1.3840123694156454,0.0017300154617695567,0.0,,,,,
G38__G__f5785,point,,865.3323364257812,4.256050002377531,4.256050002377531,0.004918399351579725,0.0,,,,,
P0__shard_07_f1015,point,,1101.45361328125,2.576841726457877,2.576841726457877,0.0023394918273329907,0.0,,,,,
TEX__shard_05_f0679,point,,800.0,1.8301146763239087,1.8301146763239087,0.002287643345404886,0.0,,,,,
P0__shard_02_f1202,point,,1101.45361328125,3.966419263640379,3.966419263640379,0.003601076991181086,0.0,,,,,
G38__G__f39772,point,,800.0,1.717815725867374,1.717815725867374,0.0021472696573342177,0.0,,,,,
TEX__shard_05_f0496,point,,865.3323364257812,4.41859432888978,4.41859432888978,0.005106239698773534,0.0,,,,,
G38__G__f37410,point,,1101.45361328125,1.3366125602477767,1.3366125602477767,0.0012134987294344461,0.0,,,,,
G38__G__f4553,point,,800.0,6.2830740069798985,6.2830740069798985,0.007853842508724873,0.0,,,,,
G38__G__f30791,point,,800.0,2.2496542686794263,2.2496542686794263,0.0028120678358492827,0.0,,,,,
P0__shard_00_f0953,point,,800.0,1.8603404351816935,1.8603404351816935,0.0023254255439771167,0.0,,,,,
P0__shard_07_f1011,point,,865.3323364257812,1.2007913623017332,1.2007913623017332,0.0013876649603336809,0.0,,,,,
P0__shard_03_f0753,point,,1101.45361328125,2.178056338281922,2.178056338281922,0.001977438098181414,0.0,,,,,
P0__shard_01_f1179,point,,800.0,0.8714001961140444,0.8714001961140444,0.0010892502451425555,0.0,,,,,
G38__G__f1697,point,,1101.45361328125,2.693873601538645,2.693873601538645,0.002445744032300686,0.0,,,,,
P0__shard_07_f0488,point,,865.3323364257812,2.436467585269969,2.436467585269969,0.0028156437506238305,0.0,,,,,
G38__G__f20044,point,,865.3323364257812,1.9522127365037532,1.9522127365037532,0.0022560265626583257,0.0,,,,,
TEX__shard_03_f0811,point,,800.0,2.8485983474597436,2.8485983474597436,0.0035607479343246796,0.0,,,,,
P0__shard_05_f1127,point,,800.0,2.1392322192252133,2.1392322192252133,0.0026740402740315166,0.0,,,,,
TEX__shard_05_f1035,point,,1101.45361328125,3.728447572601154,3.728447572601154,0.0033850245962642423,0.0,,,,,
G38__G__f18316,point,,800.0,2.1342752831572978,2.1342752831572978,0.002667844103946622,0.0,,,,,
P0__shard_03_f0741,point,,800.0,2.325020440309235,2.325020440309235,0.002906275550386544,0.0,,,,,
G38__G__f32732,point,,791.9595947265625,0.7369162220892759,0.7369162220892759,0.0009304972463193765,0.0,,,,,
P0__shard_01_f0538,point,,865.3323364257812,6.586576001195309,6.586576001195309,0.00761161431733949,0.0,,,,,
TEX__shard_04_f1136,point,,1101.45361328125,1.0382401963446526,1.0382401963446526,0.0009426090974922824,0.0,,,,,
